Bpressure,deviceId,Ay,Ax,Gy,Gx,activity,My,Mx,Az,counter,Gz,Lilluminance,timestamp,Mz
,ccbc9d76c2ebeaf5,0.324398010969162,-0.049897998571395874,,,2,,,0.948915958404541,6,,,2023-06-06 09:02:16,
949.426025390625,ccbc9d76c2ebeaf5,0.340501993894577,-0.053436003625392914,0.0019853105768561363,-0.0066431546583771706,2,-21.337501525878906,7.256250381469727,0.9192699790000916,0,0.0054977829568088055,,2023-06-06 09:02:17,-21.262500762939453
949.4228515625,ccbc9d76c2ebeaf5,0.3256179988384247,-0.03757600113749504,-0.00022907429956831038,-0.03153589367866516,2,,,0.9305550456047058,1,0.002672533504664898,379.01251220703125,2023-06-06 09:02:17,
949.4295654296875,ccbc9d76c2ebeaf5,0.3239099979400635,-0.040320999920368195,-0.009697478264570236,-0.011530072428286076,2,-21.318750381469727,7.425000190734863,0.9554430246353149,2,-0.012217295356094837,378,2023-06-06 09:02:17,-20.325000762939453
949.43896484375,ccbc9d76c2ebeaf5,0.3228730261325836,-0.016042999923229218,-0.013133592903614044,0.006108647678047419,2,-21.28125,7.462500095367432,0.9495869874954224,3,-0.012140937149524689,,2023-06-06 09:02:17,-19.3125
949.4454345703125,ccbc9d76c2ebeaf5,0.31591901183128357,-0.03422100096940994,-0.018555017188191414,-0.0006872228696011007,2,-20.90625,7.443750381469727,0.942937970161438,4,-0.0057268571108579636,,2023-06-06 09:02:17,-18.39375114440918
949.44482421875,ccbc9d76c2ebeaf5,0.3240930140018463,-0.03269600123167038,0.0019089524867013097,-0.011148282326757908,2,-20.231250762939453,7.462500095367432,0.9430599808692932,0,-0.004199695307761431,,2023-06-06 09:02:18,-17.306251525878906
949.429931640625,ccbc9d76c2ebeaf5,0.3236050009727478,-0.034098997712135315,0.09422589093446732,-0.0023671009112149477,2,-19.443750381469727,7.368750095367432,0.9528809785842896,1,-0.09689842909574509,380.0250244140625,2023-06-06 09:02:18,-16.200000762939453
949.4249267578125,ccbc9d76c2ebeaf5,0.3173219859600067,-0.025619998574256897,,,2,-18.543750762939453,7.500000476837158,0.9348860383033752,2,,378,2023-06-06 09:02:18,-15.112500190734863
,ccbc9d76c2ebeaf5,0.31878599524497986,-0.0058559998869895935,0.2458730787038803,0.08147408813238144,2,-17.568750381469727,7.706250190734863,1.0218719244003296,3,-0.4289034307003021,,2023-06-06 09:02:18,-13.987500190734863
